PartNum,PartDescription,TypeCodeDesc,PartActive,ProdCode,ClassID,MtlAnalysisCode,RefCategory,RunOut,TrackSerialNum,BuyToOrder,DuplicatedFrom_c,NonStock,QtyBearing,PhantomBOM_c,PartPlant_PrimWhse,ExcessInventoryStatus_c,PartPlant_MinimumQty,PartPlant_MaximumQty,PartPlant_SafetyQty,PartPlant_BackFlush,PurAgent_Name,PartPlant_MinOrderQty,Calculated_QntyOnHand,PartPlant_LeadTime,GeneratePOSugg,Vendor_Name,PlannerName,PartPlant_PlanTimeFence,PartPlant_ReschedInDelta,PartPlant_ReschedOutDelta,ProcessMRP,PartPlant_MinStartQty,PartPlant_MaxMfgLotSize,PartPlant_MfgLotMultiple,PartPlant_DaysOfSupply,PartPlant_ReceiveTime,Part_DropShip,Part_DropShippable_c,Calculated_StdCost,Calculated_LastCost,CriticalPart_c,PartPlant_CurrMfgYTD_c,PartPlant_CurrPurYTD_c,PartPlant_CurrSoldYTD_c,PartPlant_CurrUsedYTD_c,PartPlant_PrevMfgYTD_c,PartPlant_PrevPurYTD_c,PartPlant_PrevSoldYTD_c,PartPlant_PrevUsedYTD_c,PartPlant_Prev2MfgYTD_c,PartPlant_Prev2PurYTD_c,PartPlant_Prev2SoldYTD_c,PartPlant_Prev2UsedYTD_c,PurAgent_BuyerID,Person_PersonID,Part_UnitPrice,Part_AvgPrice_c,PartCost_StdLaborCost,PartCost_StdBurdenCost,PartCost_StdMaterialCost,PartCost_StdSubContCost,PartCost_StdMtlBurCost,PartCost_LastLaborCost,PartCost_LastBurdenCost,PartCost_LastMaterialCost,PartCost_CurLbrUnitCost_c,PartCost_CurBurUnitCost_c,PartCost_CurMtlUnitCost_c,PartCost_CurSubUnitCost_c,PartCost_CurMatBurUnitCost_c,PartCost_CurTotUnitCost_c,Part_MotorLeadTime_c,PartXRefInt_XRefPartNum,ProdGrup_MarketDivision_c,VendPart_VenPartNum,LinkToContract,Site_BuyToOrder,Site_NonStock,Site_QtyBearing,Site_LinkToContract,Site_DropShip,Site_Type,CurrentYR_Mfg,CurrentYR_Pur,CurrentYR_Sold,CurrentYR_Used,PrevYR_Mfg,PrevYR_Pur,PrevYR_Sold,PrevYR_Used,Prev2YR_Mfg,Prev2YR_Pur,Prev2YR_Sold,Prev2YR_Used,R12Current_Mfg,R12Current_Pur,R12Current_Sold,R12Current_Used,R12PrevCurrent_Mfg,R12PrevCurrent_Pur,R12PrevCurrent_Sold,R12PrevCurrent_Used,R12Prev2Current_Mfg,R12Prev2Current_Pur,R12Prev2Current_Sold,R12Prev2Current_Used,ProdCell,SOPGroup,DailyUsage,InvDaysOnHand,InvDaysOnHandReason,OpenPOQty,SalesDemandQty,JobDemandQty,UnfirmJobDemandQty,TotalDemandQty,PartRev,ApprovedPartRev,CountryOfOrigin,MarketSegment,HTSCode,SchedBcode,ExcludefromMOH_c
49025A-S100-HA1,HEAD ASSEMBLY TOP,Manufactured,Active,3066-026,66SA,,,,FALSE,FALSE,,TRUE,TRUE,FALSE,TFRPROD,FALSE,0,0,0,TRUE,Richard Murphy,0,0,0,TRUE,,Bridget Thibeault-LW,0,0,0,FALSE,0,0,0,0,0,FALSE,FALSE,317.56602,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,400,400,0,0,44.86655,54.04697,123.6525,95,0,0,0,0,44.86655,54.04697,122.41417,95,0,316.32769,0,,Fabricated Products Business Unit,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,SA,,,,0,0,0,0,,-,Approved,,,,,FALSE
49025A-S100-HA2,HEAD ASSEMBLY BOTTOM,Manufactured,Active,3066-026,66SA,,,,FALSE,FALSE,,TRUE,TRUE,FALSE,TFRPROD,FALSE,0,0,0,TRUE,Richard Murphy,0,0,0,TRUE,,Bridget Thibeault-LW,0,0,0,FALSE,0,0,0,0,0,FALSE,FALSE,133.98386,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,400,400,0,0,29.2437,37.9131,66.6725,0,0.15456,0,0,0,29.2437,37.9131,65.43417,0,0.15456,132.74553,0,,Fabricated Products Business Unit,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,SA,,,,0,0,0,0,,-,Approved,,,,,FALSE
49025A-S100-MISC1,"SCREEN BOX ASSEMBLY, 304SS",Manufactured,Active,3066-026,66SA,,,,FALSE,FALSE,,TRUE,TRUE,FALSE,TFRPROD,FALSE,0,0,0,TRUE,Richard Murphy,0,0,0,TRUE,,Bridget Thibeault-LW,0,0,0,FALSE,0,0,0,0,0,FALSE,FALSE,81.24428,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,400,400,0,0,32.456,43.4864,5.30188,0,0,0,0,0,32.456,43.4864,4.62561,0,0,80.56801,0,,Fabricated Products Business Unit,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,SA,,,,0,0,0,0,,-,Approved,,,,,FALSE
49025A-S100-MISC2,"SCREEN 4 1/2"" X 4 1/2"" X .120"" GA. WIRE MESH",Manufactured,Active,3066-026,66SA,,,,FALSE,FALSE,,TRUE,TRUE,FALSE,TFRPROD,FALSE,0,0,0,TRUE,Richard Murphy,0,0,0,TRUE,,Bridget Thibeault-LW,0,0,0,FALSE,0,0,0,0,0,FALSE,FALSE,16.49668,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,400,400,0,0,7.484,7.7288,1.28388,0,0,0,0,0,7.484,7.7288,0.55061,0,0,15.76341,0,,Fabricated Products Business Unit,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,SA,,,,0,0,0,0,,-,Approved,,,,,FALSE
49025A-S100-SHL1,"SHELL 10 3/4""OD x .165THK. x 10.25""LG.",Manufactured,Active,3066-026,66SA,,,,FALSE,FALSE,,TRUE,TRUE,FALSE,TFRPROD,FALSE,0,0,0,TRUE,Richard Murphy,0,0,0,TRUE,,Bridget Thibeault-LW,0,0,0,FALSE,0,0,0,0,0,FALSE,FALSE,68.87513,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,400,400,0,0,4.183,9.829,54.86313,0,0,0,0,0,4.183,9.829,42.17024,0,0,56.18224,0,,Fabricated Products Business Unit,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,SA,,,,0,0,0,0,,-,Approved,,,,,FALSE
49025A-TA-125,TANK ASSEMBLY AIR 2.5''FLG 125PSI,Manufactured,Active,3066-026,66SA,,,,FALSE,FALSE,,TRUE,TRUE,FALSE,TFRPROD,FALSE,0,0,0,FALSE,Richard Murphy,0,0,0,FALSE,,Bridget Thibeault-LW,0,0,0,TRUE,0,0,0,0,5,FALSE,FALSE,445.5124,346.36168,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,400,400,0,0,116.74558,180.55562,147.62598,0,0.58522,42.71657,198.59229,105.05282,116.74558,180.55562,156.29093,0,0.58522,454.17735,0,,Fabricated Products Business Unit,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,SA,,,,0,0,0,0,,A,Approved,,,,,FALSE
49025A-TA-150,TANK ASSEMBLY AIR 2.5''FLG 150PSI,Manufactured,Active,3066-026,66SA,,,,FALSE,FALSE,,TRUE,TRUE,FALSE,TFRPROD,FALSE,0,0,0,FALSE,Richard Murphy,0,0,0,FALSE,,Bridget Thibeault-LW,0,0,0,TRUE,0,0,0,0,5,FALSE,FALSE,445.5124,188.81164,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,400,400,0,0,116.74558,180.55562,147.62598,0,0.58522,15.82667,74.62419,98.36078,116.74558,180.55562,156.29093,0,0.58522,454.17735,0,,Fabricated Products Business Unit,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,SA,,,,0,0,0,0,,A,Approved,,,,,FALSE
49025A-TA-250,TANK ASSEMBLY AIR 2.5''FLG 250PSI,Manufactured,Active,3066-026,66SA,,,,FALSE,FALSE,,TRUE,TRUE,FALSE,TFRPROD,FALSE,0,0,0,TRUE,Richard Murphy,0,0,0,FALSE,,Bridget Thibeault-LW,0,0,0,TRUE,0,0,0,21,5,FALSE,FALSE,252.08615,347.80984,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,400,400,0,0,40.43036,66.07167,144.9989,0,0.58522,41.71055,193.99457,112.10472,0,0,0,0,0,0,0,,Fabricated Products Business Unit,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,SA,,,,0,0,0,0,,,Not Approved,,,,,FALSE
49025AT-TA-125,TANK ASSEMBLY AIR 2.5''THRD 125PSI,Manufactured,Active,3066-026,66SA,,,,FALSE,FALSE,,TRUE,TRUE,FALSE,TFRPROD,FALSE,0,0,0,FALSE,Richard Murphy,0,0,0,FALSE,,Bridget Thibeault-LW,0,0,0,TRUE,0,0,0,0,5,FALSE,FALSE,391.38596,323.48572,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,400,400,0,0,103.0329,163.69678,123.42258,0,1.2337,38.80498,179.99572,104.68502,103.0329,163.69678,127.14721,0,1.2337,395.11059,0,,Fabricated Products Business Unit,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,SA,,,,0,0,0,0,,A,Approved,,,,,FALSE
49025AT-TA-150,TANK ASSEMBLY AIR 2.5''THRD 150PSI,Manufactured,Active,3066-026,66SA,,,,FALSE,FALSE,,TRUE,TRUE,FALSE,TFRPROD,FALSE,0,0,0,FALSE,Richard Murphy,0,0,0,FALSE,,Bridget Thibeault-LW,0,0,0,TRUE,0,0,0,0,5,FALSE,FALSE,376.07987,315.69034,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,400,400,0,0,97.05266,154.37093,123.42258,0,1.2337,36.22819,174.77713,104.68502,97.05266,154.37093,127.14721,0,1.2337,379.8045,0,,Fabricated Products Business Unit,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,SA,,,,0,0,0,0,,A,Approved,,,,,FALSE
